,Unnamed: 0,FID,pkuid,utm-easting,utm-northing,Area,type,feature,genus,property-1,property-2
0,0,0,1,629297.4096,1013079.909,362,Travel connection,Nesting Site & Travel connection,G3,R2 & R1 & R3,T1
1,1,1,2,629554.4701,1013051.933,220,Nesting Site,Foraging,G3 & G1,R3,T1 & T2
2,2,2,3,629433.7001,1012966.156,567,Nesting Site,Foraging & Nesting Site,G2 & G1 & G3,R2 & R1,T2 & T3
3,3,3,4,629485.2302,1012836.358,501,Foraging,Nesting Site & Foraging,G3 & G1,R1 & R2,T1 & T2 & T3
4,4,4,5,629634.4101,1012838.686,161,Foraging & Travel connection & Nesting Site,Nesting Site & Foraging,G1 & G2 & G3,R3 & R2,T2
5,5,5,6,629541.7262,1012915.951,96,Nesting Site & Foraging,Foraging & Travel connection,G2 & G1 & G3,R3 & R2 & R1,T1 & T2 & T3
6,6,6,7,629628.8223,1012727.722,55,Nesting Site & Foraging,Nesting Site & Foraging & Travel connection,G3,R2,T1
7,7,7,8,629634.5384,1012397.769,435,Foraging,Nesting Site,G1 & G3 & G2,R3,T2 & T3
8,8,8,9,629455.9727,1012379.158,139,Travel connection,Nesting Site & Travel connection,G1 & G3,R2 & R1,T2 & T3
9,9,9,10,629390.2844,1012474.007,406,Travel connection & Foraging & Nesting Site,Travel connection,G2 & G1,R3 & R2,T2 & T1
10,10,10,11,629351.0158,1012488.212,308,Nesting Site & Foraging & Travel connection,Nesting Site & Travel connection,G3 & G2 & G1,R1 & R3 & R2,T1 & T2
11,11,11,12,626998.7957,1014754.216,438,Foraging,Foraging & Travel connection & Nesting Site,G1,R1,T2
12,12,12,13,626963.4053,1014713.94,365,Nesting Site & Foraging & Travel connection,Foraging,G3 & G2,R3 & R2 & R1,T2 & T3 & T1
13,13,13,14,626957.9936,1014689.587,872,Travel connection & Foraging & Nesting Site,Travel connection,G1 & G2 & G3,R2 & R3 & R1,T1
14,14,14,15,626847.3645,1014519.196,709,Foraging,Nesting Site & Foraging & Travel connection,G2,R2,T3 & T1
15,15,15,16,626750.1368,1014563.165,257,Foraging,Travel connection & Nesting Site & Foraging,G2,R1,T1 & T3
16,16,16,17,626885.1113,1014542.701,442,Travel connection & Foraging & Nesting Site,Foraging,G1,R3 & R2,T2
17,17,17,18,627076.2553,1014606.928,221,Nesting Site & Travel connection,Travel connection & Nesting Site,G3 & G2,R3,T3 & T1
18,18,18,19,627040.8439,1014530.112,151,Foraging & Nesting Site & Travel connection,Nesting Site,G2 & G3,R2,T2 & T3
19,19,19,20,627026.5419,1014628.955,134,Nesting Site & Travel connection,Foraging & Travel connection & Nesting Site,G3 & G1 & G2,R2,T3
20,20,20,21,624364.3194,1014063.178,388,Travel connection,Nesting Site & Travel connection & Foraging,G2,R1 & R3,T2
21,21,21,22,624384.0329,1014005.365,213,Travel connection & Nesting Site & Foraging,Foraging,G2,R3 & R2,T1 & T2 & T3
22,22,22,23,624678.7999,1014033.374,234,Nesting Site & Travel connection & Foraging,Foraging,G3 & G2 & G1,R2 & R1,T3 & T1 & T2
23,23,23,24,624640.4769,1014067.912,284,Travel connection & Foraging,Travel connection & Foraging,G3,R3,T2
24,24,24,25,625010.2412,1014209.58,182,Foraging & Travel connection & Nesting Site,Nesting Site & Travel connection & Foraging,G1,R3,T3 & T2 & T1
25,25,25,26,625636.0739,1014399.839,264,Foraging & Nesting Site,Nesting Site & Foraging & Travel connection,G2 & G1,R1,T3
26,26,26,27,625628.2008,1014424.157,198,Travel connection & Foraging & Nesting Site,Nesting Site,G1 & G2 & G3,R1 & R3,T1
27,27,27,28,625970.7593,1014228.997,255,Travel connection & Nesting Site & Foraging,Nesting Site,G2 & G1,R2 & R1 & R3,T3
28,28,28,29,625962.8226,1014201.791,139,Nesting Site & Foraging,Foraging,G2 & G3,R1,T2 & T3 & T1
29,29,29,30,625750.8168,1014113.975,368,Foraging,Foraging,G2,R3 & R2 & R1,T1 & T2
30,30,30,31,625910.407,1014051.696,358,Travel connection & Foraging,Foraging & Nesting Site,G3 & G1 & G2,R3 & R2,T1
31,31,31,32,626073.6605,1014196.869,300,Foraging,Travel connection,G2,R3,T1 & T3 & T2
32,32,32,33,626850.5824,1014433.401,449,Nesting Site & Travel connection,Foraging,G1 & G3 & G2,R1 & R2,T3
33,33,33,34,626873.0853,1014436.898,205,Nesting Site & Travel connection & Foraging,Travel connection,G2 & G1,R2,T2 & T1
34,34,34,35,627004.1615,1014361.446,389,Travel connection & Nesting Site,Foraging,G3 & G1,R1 & R2,T3
35,35,35,36,626766.6084,1014425.95,333,Nesting Site,Nesting Site & Foraging,G1 & G3,R1 & R2 & R3,T1 & T2
36,36,36,37,626757.042,1014400.266,173,Foraging,Travel connection,G1 & G2 & G3,R2,T2 & T3 & T1
37,37,37,38,626785.4709,1014314.038,314,Travel connection,Foraging & Travel connection & Nesting Site,G2,R1 & R3,T2
38,38,38,39,626766.3696,1014303.148,402,Nesting Site & Travel connection,Nesting Site & Travel connection & Foraging,G2 & G3 & G1,R1 & R3,T2 & T1
39,39,39,40,626738.2929,1014300.332,124,Nesting Site,Foraging & Nesting Site,G1,R3 & R2,T3 & T1 & T2
40,40,40,41,626853.6186,1014272.583,305,Travel connection & Nesting Site,Foraging & Travel connection,G2 & G3 & G1,R1,T2 & T1
41,41,41,42,626852.0636,1014291.929,61,Travel connection & Foraging & Nesting Site,Nesting Site & Travel connection & Foraging,G1,R3,T3
42,42,42,43,626831.1335,1014300.29,"1,057",Travel connection,Travel connection & Foraging,G1 & G2 & G3,R1 & R3,T2
43,43,43,44,626952.263,1014322.653,151,Nesting Site & Foraging & Travel connection,Nesting Site & Travel connection & Foraging,G1 & G3,R2,T1 & T3
44,44,44,45,626918.9412,1014316.792,75,Travel connection & Nesting Site & Foraging,Travel connection & Nesting Site & Foraging,G1 & G2 & G3,R2,T3 & T2
45,45,45,46,626944.3854,1014296.811,174,Foraging & Nesting Site & Travel connection,Travel connection,G3,R1 & R3 & R2,T2 & T1
46,46,46,47,626959.2635,1014207.465,447,Travel connection & Nesting Site,Travel connection & Nesting Site,G1 & G2 & G3,R2,T3 & T1
47,47,47,48,626850.1019,1014223.361,725,Foraging,Nesting Site & Travel connection,G3 & G1,R1,T3
48,48,48,49,626717.6313,1014038.285,644,Foraging,Travel connection,G3,R2 & R1,T3
49,49,49,50,626748.6514,1014084.855,348,Foraging & Nesting Site,Foraging & Nesting Site,G1 & G3,R3 & R2 & R1,T2
50,50,50,51,626783.2681,1014106.885,139,Foraging & Nesting Site,Nesting Site,G2 & G3,R1 & R2 & R3,T3 & T2
51,51,51,52,626799.1677,1014113.854,188,Nesting Site & Travel connection & Foraging,Nesting Site & Foraging,G2,R2,T2 & T3 & T1
52,52,52,53,626795.5031,1014139.549,350,Travel connection,Foraging,G1 & G2,R2 & R1 & R3,T2 & T1
53,53,53,54,626858.2721,1014116.752,646,Travel connection & Nesting Site,Travel connection,G1,R2,T3 & T1 & T2
